ProductCode,ProductName,Price,JDQName
1091PC,"StarFire 6000 to StarFire 7000 RTK Permanent
License Transfer",,RTK LICENSE TRANSFER
1092PC,"StarFire 3000 to StarFire 7500 RTK Permanent
License Transfer",,RTK LICENSE TRANSFER
1093PC,"StarFire 6000 to StarFire 7500 RTK Permanent
License Transfer",,RTK LICENSE TRANSFER
1100PC,StarFire 7500 Universal Receiver,,SF7500 UNIVERSAL RECEIVER
1101PC,"StarFire 7500 Universal RTK (Base Station) Permanent
License",,SF7500 UNIV PERM RTK
1110PC,StarFire 7500 Integrated Receiver Upgrade Kit,,StarFire 7500 Integrated Receiver Upgrade Kit
1111PC,"StarFire 7500 Integrated RTK (Base Station)
Permanent License",,SF7500 INTEGRATED RTK
2250PC,John Deere AutoTrac Universal 300,,AUTOTRAC UNIVERSAL 300
3020PC,Universal Implement Ethernet,,Universal Implement Ethernet
7305PC,StarFire 3000 RTK Activation,,SF RTK ACTIVATION
7307PC,StarFire 6000 RTK Ready Activation,,RTK READY FOR SF6000
7316PC,John Deere RTK Radio StarFire 900,,STARFIRE RTK RADIO
7321PC,John Deere RTK Radio 450,,STARFIRE RTK RADIO
7330PC,"StarFire 3000/6000 John Deere Mobile RTK Signal
Subscription - 1 Year",,MOBILE RTK SUBSCRIPTION
9502PC,Precision Essentials Kit - G5 Universal,,PRECISION ESSENTIALS
9503PC,Precision Essentials Kit - G5Plus Universal,,PRECISION ESSENTIALS
0700PC,ORIGINAL GREENSTAR DISPLAY,,ORIGINAL GREENSTAR DISPLAY
070FPC,Gen 4 4640 Display,,4640 UNIVERSAL DISPLAY
0709PC,GS2 1800 Display,,GREENSTAR 2 1800
0705PC,GS2 2600 Display,,GREENSTAR 2 2600 DISPLAY
0706PC,GS3 2630 Display,,GREENSTAR 3 2630 DISPLAY
